"battery_power","blue","clock_speed","dual_sim","fc","four_g","int_memory","m_dep","mobile_wt","n_cores","pc","px_height","px_width","ram","sc_h","sc_w","talk_time","three_g","touch_screen","wifi","price_range","battery_power_group","clock_speed_group","fc_group","int_memory_group","m_dep_group","mobile_wt_group","pc_group","px_height_group","px_width_group","sc_h_group","sc_w_group","talk_time_group"
803,"1",2.1,"0",7,"0",17,1,198,"4",11,344,1440,"2048",7,1,4,"1","0","1","2","1","3","1","1","4","4","2","0","3","0","0","0"
1866,"0",0.5,"0",13,"1",52,0.7,185,"1",17,356,563,"256",14,9,3,"1","0","1","0","4","0","3","4","3","4","4","0","0","3","2","0"
775,"0",1,"0",3,"0",46,0.7,159,"2",16,862,1864,"512",17,15,11,"1","1","1","0","0","1","0","3","3","3","4","2","4","4","4","2"
838,"0",0.5,"0",1,"1",13,0.1,196,"8",4,984,1850,"2048",10,9,19,"1","0","1","3","1","0","0","0","0","4","1","2","4","1","2","4"
595,"0",0.9,"1",7,"1",23,0.1,121,"3",17,441,810,"2048",10,2,18,"1","1","0","3","0","0","1","1","0","1","4","1","1","1","0","4"
1131,"1",0.5,"1",11,"0",49,0.6,101,"5",18,658,878,"1024",19,13,16,"1","1","0","1","2","0","2","3","2","0","4","1","1","4","3","3"
682,"1",0.5,"0",4,"0",19,1,121,"4",11,902,1064,"2048",11,1,18,"0","1","1","1","0","0","1","1","4","1","2","2","1","2","0","4"
772,"0",1.1,"1",12,"0",39,0.8,81,"7",14,1314,1854,"2048",17,15,3,"1","1","0","3","0","1","3","2","3","0","3","3","4","4","4","0"
1709,"1",2.1,"0",1,"0",13,1,156,"2",2,974,1385,"2048",17,1,15,"1","0","0","3","4","3","0","0","4","3","0","2","2","4","0","3"
1949,"0",2.6,"1",4,"0",47,0.3,199,"4",7,407,822,"1024",11,5,20,"0","0","1","1","4","4","1","3","1","4","1","1","1","2","1","4"
1602,"1",2.8,"1",4,"1",38,0.7,114,"3",20,466,788,"1024",8,7,20,"1","0","0","0","3","4","1","2","3","1","4","1","0","1","1","4"
503,"0",1.2,"1",5,"1",8,0.4,111,"3",13,201,1245,"2048",11,0,12,"1","0","0","1","0","1","1","0","1","1","3","0","2","2","0","2"
961,"1",1.4,"1",0,"1",57,0.6,114,"8",3,291,1434,"2048",18,9,7,"1","1","1","2","1","1","0","4","2","1","0","0","3","4","2","1"
519,"1",1.6,"1",7,"1",51,0.3,132,"4",19,550,645,"2048",16,1,4,"1","0","1","3","0","2","1","3","1","2","4","1","0","3","0","0"
956,"0",0.5,"0",1,"1",41,1,143,"7",6,511,1075,"2048",17,8,12,"1","1","0","3","1","0","0","3","4","2","1","1","1","4","2","2"
1453,"0",1.6,"1",12,"1",52,0.3,96,"2",18,187,1311,"2048",10,1,10,"1","1","1","2","3","2","3","4","1","0","4","0","2","1","0","2"
851,"0",0.5,"0",3,"0",21,0.4,200,"5",7,1171,1263,"256",12,7,10,"1","0","1","0","1","0","0","1","1","4","1","2","2","2","1","2"
1579,"1",0.5,"1",0,"0",5,0.2,88,"7",9,1358,1739,"2048",17,11,12,"0","0","1","3","3","0","0","0","0","0","2","3","4","4","3","2"
1568,"1",0.5,"0",16,"0",33,1,150,"8",20,413,654,"256",5,1,6,"1","1","1","0","3","0","4","2","4","2","4","1","0","0","0","1"
1319,"1",0.9,"0",3,"1",41,0.9,107,"1",18,85,1152,"2048",18,5,3,"1","1","1","1","2","0","0","3","4","1","4","0","2","4","1","0"
1310,"1",2.2,"1",0,"1",51,0.6,100,"4",0,178,1919,"2048",7,0,12,"1","1","0","3","2","3","0","3","2","0","0","0","4","0","0","2"
644,"1",2.7,"0",0,"0",22,0.7,157,"8",3,311,881,"1024",12,1,15,"1","0","0","0","0","4","0","1","3","3","0","0","1","2","0","3"
725,"0",1.3,"1",16,"0",60,0.4,160,"8",17,1134,1249,"1024",10,4,15,"1","0","0","1","0","1","4","4","1","3","4","2","2","1","1","3"
589,"1",2.3,"1",1,"0",61,0.6,160,"4",10,429,815,"2048",13,7,2,"1","0","1","1","0","3","0","4","2","3","2","1","1","2","1","0"
1725,"1",1.6,"1",6,"1",6,0.5,119,"2",18,609,1307,"2048",6,5,4,"1","1","0","3","4","2","1","0","2","1","4","1","2","0","1","0"
790,"0",2,"1",16,"1",11,0.3,87,"6",17,347,730,"2048",6,1,2,"1","0","1","2","0","3","4","0","1","0","4","0","0","0","0","0"
560,"0",0.5,"1",15,"0",50,0.3,159,"2",20,1448,1613,"2048",18,12,11,"1","1","0","2","0","0","3","3","1","3","4","3","3","4","3","2"
1347,"0",2.9,"0",5,"0",44,0.6,132,"1",14,434,967,"2048",18,2,11,"1","0","1","2","2","4","1","3","2","2","3","1","1","4","0","2"
1646,"1",2.3,"0",8,"1",41,0.2,185,"2",10,1725,1932,"2048",18,10,19,"1","1","0","3","3","3","2","3","0","4","2","4","4","4","2","4"
1253,"1",0.5,"1",5,"1",5,0.2,152,"2",19,685,714,"1024",15,0,4,"1","1","0","1","2","0","1","0","0","3","4","1","0","3","0","0"
1656,"0",1,"0",5,"1",34,0.1,166,"3",7,880,1456,"1024",15,12,14,"1","1","0","1","3","1","1","2","0","3","1","2","3","3","3","3"
1195,"1",2.8,"0",1,"1",20,0.8,110,"2",14,1580,1652,"256",9,3,12,"1","1","0","0","2","4","0","1","3","1","3","4","3","1","0","2"
1514,"0",2.9,"0",0,"0",27,0.2,118,"3",1,186,1810,"1024",8,3,20,"0","1","1","1","3","4","0","2","0","1","0","0","4","1","0","4"
1723,"1",1.1,"1",1,"0",42,1,164,"8",14,202,1791,"2048",10,5,3,"1","0","0","3","4","1","0","3","4","3","3","0","4","1","1","0"
1054,"1",1.8,"1",3,"1",40,0.8,196,"7",10,27,774,"2048",16,12,12,"1","0","1","1","1","2","0","3","3","4","2","0","0","3","3","2"
578,"1",2.6,"1",2,"1",57,0.2,162,"8",8,1025,1433,"1024",15,3,5,"1","0","1","0","0","4","0","4","0","3","2","2","3","3","0","0"
596,"0",2.1,"1",9,"0",64,0.8,111,"8",15,885,1854,"2048",16,13,10,"0","0","0","3","0","3","2","4","3","1","3","2","4","3","3","2"
1547,"1",3,"1",2,"1",14,0.7,198,"3",19,1042,1832,"2048",5,0,15,"1","0","1","2","3","4","0","0","3","4","4","2","4","0","0","3"
1760,"0",1.4,"1",5,"0",63,0.8,127,"8",19,1382,1383,"2048",19,12,16,"0","1","0","2","4","1","1","4","3","1","4","3","2","4","3","3"
1654,"1",1.5,"1",0,"1",43,0.3,109,"2",0,546,629,"2048",12,5,10,"1","1","0","3","3","2","0","3","1","1","0","1","0","2","1","2"
1457,"0",1.9,"1",1,"1",16,0.3,102,"3",10,1013,1287,"1024",17,8,12,"1","0","1","1","3","2","0","1","1","0","2","2","2","4","2","2"
1073,"1",0.5,"1",0,"0",51,0.5,145,"7",0,690,804,"2048",6,0,18,"0","1","0","2","1","0","0","3","2","2","0","1","1","0","0","4"
1936,"0",2.1,"1",10,"1",46,0.6,104,"3",20,667,1036,"2048",14,7,13,"1","0","0","2","4","3","2","3","2","1","4","1","1","3","1","3"
823,"1",2.7,"1",13,"0",60,0.5,148,"8",19,822,1449,"512",14,11,17,"1","1","1","0","1","4","3","4","2","2","4","2","3","3","3","4"
987,"0",1.3,"1",0,"1",61,0.4,107,"3",9,581,820,"2048",9,4,20,"1","0","1","3","1","1","0","4","1","1","2","1","1","1","1","4"
1757,"0",0.5,"0",8,"0",49,0.5,180,"6",14,265,713,"2048",7,5,4,"0","0","0","1","4","0","2","3","2","4","3","0","0","0","1","0"
1063,"0",1.4,"1",2,"1",48,1,128,"5",4,127,683,"2048",15,13,9,"1","1","1","2","1","1","0","3","4","2","1","0","0","3","3","1"
1484,"0",3,"0",3,"0",12,0.6,134,"3",5,916,969,"1024",14,4,20,"1","1","0","1","3","4","0","0","2","2","1","2","1","3","1","4"
799,"1",2.3,"0",1,"1",63,0.8,144,"8",6,361,975,"256",15,6,6,"1","1","1","0","0","3","0","4","3","2","1","0","1","3","1","1"
1156,"1",1.2,"1",0,"1",50,0.8,159,"2",0,322,547,"256",7,0,15,"1","1","0","0","2","1","0","3","3","3","0","0","0","0","0","3"
1720,"0",2,"0",15,"1",55,0.5,168,"2",18,753,1353,"2048",14,2,5,"1","1","1","2","4","3","3","4","2","3","4","1","2","3","0","0"
702,"0",2.6,"1",2,"1",9,0.7,141,"3",3,504,1570,"2048",10,4,19,"1","0","0","2","0","4","0","0","3","2","0","1","3","1","1","4"
616,"0",1.9,"1",13,"1",44,0.8,81,"3",17,651,1618,"2048",18,8,13,"1","1","0","3","0","2","3","3","3","0","4","1","3","4","2","3"
1358,"1",0.5,"0",11,"1",36,0.3,155,"4",14,1565,1858,"2048",9,4,4,"1","1","0","3","2","0","2","2","1","3","3","3","4","1","1","0"
1866,"0",1.4,"0",0,"0",30,0.5,182,"3",0,108,1781,"2048",16,11,8,"0","0","0","3","4","1","0","2","2","4","0","0","4","3","3","1"
1242,"0",1.1,"1",0,"0",10,0.6,165,"2",1,459,1225,"1024",11,1,4,"1","0","1","0","2","1","0","0","2","3","0","1","2","2","0","0"
1166,"0",1.5,"1",0,"1",43,0.8,80,"4",1,205,603,"2048",7,1,7,"1","1","0","3","2","2","0","3","3","0","0","0","0","0","0","1"
1448,"1",0.5,"1",6,"1",45,0.8,138,"7",11,570,1724,"2048",13,11,2,"1","1","1","3","3","0","1","3","3","2","2","1","4","2","3","0"
1407,"1",2.4,"0",1,"1",22,0.7,104,"4",4,1172,1217,"2048",9,7,13,"1","0","1","2","3","3","0","1","3","1","1","2","2","1","1","3"
605,"0",1,"0",8,"1",9,0.1,142,"3",16,160,1026,"256",15,6,4,"1","0","0","0","0","1","2","0","0","2","4","0","1","3","1","0"
1038,"0",1.2,"0",3,"0",43,0.7,141,"1",5,4,638,"2048",11,0,12,"1","1","1","3","1","1","0","3","3","2","1","0","0","2","0","2"
797,"1",2.9,"1",4,"0",38,0.5,90,"4",6,763,1413,"512",9,2,6,"0","1","0","0","0","4","1","2","2","0","1","1","3","1","0","1"
819,"0",0.6,"1",8,"1",42,0.9,188,"6",20,339,1242,"1024",5,4,13,"1","0","1","1","1","0","2","3","4","4","4","0","2","0","1","3"
1114,"0",2.8,"0",4,"1",9,0.4,197,"3",15,1040,1071,"512",10,7,17,"1","1","0","0","2","4","1","0","1","4","3","2","1","1","1","4"
1234,"1",1.6,"1",1,"0",33,0.6,172,"1",3,166,778,"1024",11,7,6,"0","0","1","0","2","2","0","2","2","3","0","0","0","2","1","1"
1199,"1",2.5,"1",15,"1",16,0.2,116,"4",20,1168,1552,"2048",17,13,10,"1","0","1","3","2","4","3","1","0","1","4","2","3","4","3","2"
1103,"0",1,"1",6,"0",29,0.7,111,"6",8,990,1486,"1024",8,7,16,"0","1","1","1","2","1","1","2","3","1","2","2","3","1","1","3"
1589,"1",0.6,"1",0,"1",58,0.9,85,"7",7,319,1206,"2048",19,10,6,"1","1","1","3","3","0","0","4","4","0","1","0","2","4","2","1"
999,"0",2.9,"1",11,"1",64,0.2,199,"4",19,1397,1616,"2048",14,11,16,"1","1","0","2","1","4","2","4","0","4","4","3","3","3","3","3"
1510,"1",0.9,"1",2,"0",45,0.9,180,"5",3,708,1752,"2048",9,6,11,"0","1","1","3","3","0","0","3","4","4","0","1","4","1","1","2"
1008,"0",0.8,"0",11,"0",61,1,114,"3",15,1077,1122,"1024",10,3,11,"1","0","0","1","1","0","2","4","4","1","3","2","2","1","0","2"
1127,"1",2.9,"1",5,"1",57,0.8,163,"1",13,928,1049,"2048",11,5,17,"1","1","1","1","2","4","1","4","3","3","3","2","1","2","1","4"
1412,"1",2.4,"0",5,"0",25,0.8,96,"8",17,516,1894,"512",15,9,4,"0","0","1","1","3","3","1","1","3","0","4","1","4","3","2","0"
1496,"1",2,"1",4,"0",42,0.5,182,"5",5,96,741,"512",16,0,7,"0","1","1","0","3","3","1","3","2","4","1","0","0","3","0","1"
1083,"1",2.9,"1",1,"1",64,0.8,178,"3",11,1025,1118,"2048",13,3,4,"1","0","0","3","1","4","0","4","3","4","2","2","2","2","0","0"
668,"0",0.5,"1",0,"0",3,0.1,155,"5",13,666,1203,"2048",9,5,8,"1","1","1","2","0","0","0","0","0","3","3","1","2","1","1","1"
1309,"0",1.1,"1",0,"0",33,0.5,100,"4",14,557,1402,"2048",10,1,11,"1","0","1","2","2","1","0","2","2","0","3","1","3","1","0","2"
1724,"0",2,"1",2,"1",57,0.5,177,"3",5,1605,1924,"2048",19,3,16,"1","1","0","3","4","3","0","4","2","4","1","4","4","4","0","3"
1977,"1",2,"1",7,"1",54,1,171,"7",18,1226,1242,"1024",18,7,14,"1","1","0","2","4","3","1","4","4","3","4","3","2","4","1","3"
885,"0",2.3,"1",0,"1",15,0.4,103,"7",0,769,802,"1024",16,10,5,"1","1","1","0","1","3","0","1","1","0","0","1","1","3","2","0"
879,"1",2.5,"0",11,"1",14,0.7,83,"6",15,403,1105,"256",16,10,2,"1","0","1","0","1","4","2","0","3","0","3","1","2","3","2","0"
1322,"0",1.7,"1",6,"0",7,0.8,140,"3",9,177,1990,"1024",19,17,12,"0","1","0","1","2","2","1","0","3","2","2","0","4","4","4","2"
1137,"1",1,"0",18,"0",7,1,196,"3",19,942,1179,"2048",13,5,12,"1","1","1","3","2","1","4","0","4","4","4","2","2","2","1","2"
1355,"0",2.3,"0",10,"1",23,0.2,132,"5",16,651,891,"512",19,4,8,"1","1","0","0","2","3","2","1","0","2","4","1","1","4","1","1"
1665,"1",0.5,"0",3,"1",60,0.2,194,"6",18,1572,1684,"1024",18,17,14,"1","0","0","2","3","0","0","4","0","4","4","4","3","4","4","3"
657,"0",2.5,"0",0,"0",37,0.7,141,"2",1,476,961,"1024",14,3,18,"0","1","0","0","0","4","0","2","3","2","0","1","1","3","0","4"
593,"0",0.5,"0",6,"0",31,0.4,156,"7",7,1233,1317,"1024",6,2,7,"1","0","0","1","0","0","1","2","1","3","1","3","2","0","0","1"
1883,"1",0.5,"0",3,"1",10,0.3,146,"6",13,836,1739,"2048",16,8,20,"1","0","0","3","4","0","0","0","1","2","3","2","4","3","2","4"
1732,"1",1.1,"0",4,"1",12,0.8,119,"8",9,824,881,"1024",16,7,11,"1","0","1","1","4","1","1","0","3","1","2","2","1","3","1","2"
543,"0",0.5,"0",0,"0",57,0.7,192,"5",4,391,984,"2048",17,14,15,"1","0","0","1","0","0","0","4","3","4","1","0","1","4","3","3"
1939,"1",2.8,"1",0,"1",55,0.6,199,"4",10,320,520,"1024",14,10,18,"1","1","0","0","4","4","0","4","2","4","2","0","0","3","2","4"
553,"0",2.4,"1",1,"1",8,0.5,121,"7",3,325,902,"1024",11,4,8,"1","1","1","0","0","3","0","0","2","1","0","0","1","2","1","1"
832,"0",0.7,"1",2,"1",39,0.7,103,"4",3,125,1504,"1024",5,2,11,"1","0","1","1","1","0","0","2","3","0","0","0","3","0","0","2"
1661,"0",1.9,"1",5,"0",23,1,172,"5",10,846,1634,"2048",12,6,11,"0","1","1","3","3","2","1","1","4","3","2","2","3","2","1","2"
1657,"1",2.4,"0",3,"0",42,0.1,198,"5",16,1770,1796,"2048",18,1,14,"1","0","0","3","3","3","0","3","0","4","4","4","4","4","0","3"
1135,"1",2,"1",0,"0",46,0.3,83,"1",4,293,1846,"2048",19,17,9,"1","1","1","3","2","3","0","3","1","0","1","0","4","4","4","1"
1775,"1",1.5,"0",3,"0",41,0.1,163,"1",7,1633,1869,"2048",19,13,14,"1","1","1","3","4","2","0","3","0","3","1","4","4","4","3","3"
783,"0",1.8,"1",0,"1",43,1,106,"3",4,1198,1471,"1024",16,4,18,"1","1","0","1","0","2","0","3","4","1","1","3","3","3","1","4"
617,"1",2.3,"0",0,"0",32,0.5,199,"7",20,768,874,"2048",18,13,7,"0","0","0","1","0","3","0","2","2","4","4","1","1","4","3","1"
867,"0",1.4,"1",0,"1",4,0.7,135,"6",1,70,1974,"512",13,6,3,"1","1","0","0","1","1","0","0","3","2","0","0","4","2","1","0"
1310,"1",1.1,"1",13,"0",7,1,194,"5",14,117,513,"2048",8,4,5,"1","1","0","2","2","1","3","0","4","4","3","0","0","1","1","0"
1804,"0",0.5,"0",9,"1",22,0.6,153,"7",19,1158,1244,"2048",9,1,20,"1","0","1","3","4","0","2","1","2","3","4","2","2","1","0","4"
1900,"1",2.3,"0",1,"1",18,0.2,89,"7",9,1055,1661,"2048",12,1,13,"1","1","1","3","4","3","0","1","0","0","2","2","3","2","0","3"
909,"1",1.4,"0",0,"0",53,0.3,82,"8",0,635,973,"2048",12,9,4,"1","0","0","2","1","1","0","4","1","0","0","1","1","2","2","0"
1084,"1",2.6,"0",3,"1",40,0.9,107,"3",11,322,771,"1024",15,4,10,"1","1","0","1","1","4","0","3","4","1","2","0","0","3","1","2"
1308,"0",1.3,"1",8,"0",46,0.9,199,"1",12,275,989,"256",5,3,9,"0","1","0","0","2","1","2","3","4","4","3","0","1","0","0","1"
1778,"0",0.5,"0",0,"0",15,0.5,102,"3",0,1445,1954,"1024",5,0,14,"1","0","0","1","4","0","0","1","2","0","0","3","4","0","0","3"
1701,"1",1.6,"1",3,"0",10,0.3,194,"8",7,550,1338,"2048",12,9,6,"0","1","0","2","4","2","0","0","1","4","1","1","2","2","2","1"
772,"1",2.4,"1",1,"1",10,0.5,80,"4",2,1242,1712,"2048",18,11,4,"1","1","0","3","0","3","0","0","2","0","0","3","4","4","3","0"
825,"1",0.5,"1",7,"0",52,0.9,130,"3",10,597,863,"2048",10,4,6,"0","1","0","3","1","0","1","4","4","2","2","1","1","1","1","1"
1379,"0",1.1,"0",5,"1",36,0.8,200,"2",7,538,1376,"2048",5,4,17,"1","1","1","3","2","1","1","2","3","4","1","1","2","0","1","4"
1166,"0",2,"0",3,"1",25,0.8,198,"5",4,59,1203,"2048",13,5,15,"1","0","0","2","2","3","0","1","3","4","1","0","2","2","1","3"
1659,"0",2.8,"0",5,"0",16,0.6,89,"1",20,819,902,"2048",19,14,9,"0","0","1","3","3","4","1","1","2","0","4","2","1","4","3","1"
826,"1",2.4,"1",0,"1",58,0.3,88,"4",1,179,786,"2048",9,3,18,"1","0","1","2","1","3","0","4","1","0","0","0","0","1","0","4"
1564,"0",2.3,"0",4,"1",25,0.5,189,"6",17,1259,1965,"1024",6,4,7,"1","1","1","1","3","3","1","1","2","4","4","3","4","0","1","1"
1957,"0",0.9,"1",11,"0",31,0.6,181,"3",16,396,1732,"2048",12,0,7,"1","0","1","3","4","0","2","2","2","4","4","1","4","2","0","1"
1571,"0",1.4,"0",0,"1",19,0.1,100,"6",1,713,1398,"512",12,10,13,"1","1","0","0","3","1","0","1","0","0","0","1","2","2","2","3"
1414,"0",2,"1",2,"0",54,0.8,99,"7",3,262,829,"2048",17,7,7,"1","0","1","3","3","3","0","4","3","0","0","0","1","4","1","1"
1790,"0",2.5,"1",9,"0",2,0.1,184,"1",14,622,792,"1024",7,0,20,"1","1","1","1","4","4","2","0","0","4","3","1","0","0","0","4"
645,"0",0.5,"0",1,"0",41,1,197,"7",10,327,580,"2048",12,9,4,"1","1","1","2","0","0","0","3","4","4","2","0","0","2","2","0"
668,"0",2.9,"1",7,"0",30,0.2,195,"8",12,522,1056,"2048",10,5,7,"1","1","1","1","0","4","1","2","0","4","3","1","1","1","1","1"
1652,"1",1.1,"1",1,"0",36,0.7,89,"4",5,313,1264,"2048",12,8,20,"0","0","0","2","3","1","0","2","3","0","1","0","2","2","2","4"
1213,"1",0.5,"0",0,"0",16,0.5,108,"5",0,226,1248,"2048",12,3,9,"0","0","1","2","2","0","0","1","2","1","0","0","2","2","0","1"
1272,"1",2.5,"1",0,"0",22,0.9,133,"6",8,605,669,"2048",19,4,4,"1","0","0","1","2","4","0","1","4","2","2","1","0","4","1","0"
866,"0",0.5,"1",5,"1",46,0.5,179,"8",7,692,1686,"2048",12,11,2,"1","1","1","3","1","0","1","3","2","4","1","1","3","2","3","0"
536,"0",2.4,"1",12,"1",3,0.3,182,"7",14,1386,1539,"256",12,9,4,"1","1","0","0","0","3","3","0","1","4","3","3","3","2","2","0"
523,"0",2.6,"1",1,"0",14,0.1,155,"8",2,304,1042,"1024",9,1,9,"0","1","0","0","0","4","0","0","0","3","0","0","1","1","0","1"
1753,"0",0.5,"1",0,"1",31,0.1,134,"1",18,1590,1926,"1024",17,0,17,"1","0","1","2","4","0","0","2","0","2","4","4","4","4","0","4"
1218,"0",1.8,"1",1,"1",14,0.5,147,"3",4,229,616,"256",17,0,5,"1","0","0","0","2","2","0","0","2","2","1","0","0","4","0","0"
1537,"1",2.5,"0",4,"1",43,0.3,137,"1",5,839,1131,"2048",18,17,17,"1","1","1","3","3","4","1","3","1","2","1","2","2","4","4","4"
786,"0",2.2,"1",0,"0",33,0.5,141,"7",6,507,1697,"2048",12,11,5,"1","0","1","2","0","3","0","2","2","2","1","1","3","2","3","0"
1678,"0",2.1,"0",3,"1",64,0.9,134,"3",11,436,536,"256",19,0,10,"1","1","0","0","3","3","0","4","4","2","2","1","0","4","0","2"
1814,"0",1.4,"1",1,"1",9,0.4,141,"2",2,756,786,"2048",18,12,16,"1","0","0","3","4","1","0","0","1","2","0","1","0","4","3","3"
1101,"0",1.8,"0",0,"0",31,0.2,148,"2",7,387,1269,"2048",12,6,19,"0","1","1","1","2","2","0","2","0","2","1","0","2","2","1","4"
1461,"0",2.4,"1",3,"1",40,0.5,141,"7",4,1265,1298,"2048",16,1,4,"1","0","0","3","3","3","0","3","2","2","1","3","2","3","0","0"
1216,"0",3,"0",4,"0",47,0.4,199,"3",7,1852,1967,"2048",13,5,4,"0","1","1","2","2","4","1","3","1","4","1","4","4","2","1","0"
506,"0",1.6,"0",6,"1",41,0.8,159,"1",7,875,1025,"2048",13,10,15,"1","0","0","2","0","2","1","3","3","3","1","2","1","2","2","3"
843,"1",0.5,"0",1,"1",56,0.1,147,"5",17,140,800,"2048",10,1,20,"1","1","1","1","1","0","0","4","0","2","4","0","1","1","0","4"
742,"0",2.2,"1",4,"0",56,0.2,190,"7",14,577,1359,"2048",16,11,12,"0","1","1","3","0","3","1","4","0","4","3","1","2","3","3","2"
1692,"1",2.1,"0",3,"1",61,0.9,176,"6",12,975,1996,"1024",16,7,19,"1","0","0","1","3","3","0","4","4","4","3","2","4","3","1","4"
1485,"0",1,"0",2,"1",32,0.7,84,"2",9,510,1013,"2048",19,1,11,"1","1","0","2","3","1","0","2","3","0","2","1","1","4","0","2"
1547,"0",2.9,"1",6,"0",45,0.7,166,"2",8,583,590,"256",12,2,3,"0","1","1","0","3","4","1","3","3","3","2","1","0","2","0","0"
1692,"0",2.3,"1",4,"1",46,0.9,139,"1",6,674,1925,"1024",16,10,6,"1","1","0","1","3","3","1","3","4","2","1","1","4","3","2","1"
637,"0",2.3,"0",3,"1",60,0.8,97,"4",4,1125,1989,"256",18,4,8,"1","0","1","0","0","3","0","4","3","0","1","2","4","4","1","1"
1224,"0",0.5,"0",16,"1",6,0.4,109,"6",18,747,826,"256",10,0,11,"1","1","1","0","2","0","4","0","1","1","4","1","1","1","0","2"
1356,"0",2.8,"0",0,"0",29,0.5,198,"6",0,1612,1983,"2048",17,0,19,"0","0","0","3","2","4","0","2","2","4","0","4","4","4","0","4"
1840,"0",0.5,"1",12,"0",34,0.7,142,"1",16,311,1545,"1024",8,0,10,"0","0","0","1","4","0","3","2","3","2","4","0","3","1","0","2"
1481,"1",0.7,"1",4,"1",37,0.6,96,"5",13,116,1533,"2048",10,5,16,"1","1","1","2","3","0","1","2","2","0","3","0","3","1","1","3"
961,"1",1.5,"1",10,"0",51,0.3,152,"6",16,554,621,"2048",15,6,7,"1","1","1","2","1","2","2","3","1","3","4","1","0","3","1","1"
1296,"0",0.9,"1",0,"1",14,0.5,124,"5",3,811,1272,"256",7,1,4,"1","1","1","0","2","0","0","0","2","1","0","2","2","0","0","0"
1193,"0",0.9,"0",11,"0",26,0.5,166,"1",20,730,1729,"512",17,14,4,"1","0","1","0","2","0","2","1","2","3","4","1","4","4","3","0"
1441,"0",2.1,"1",11,"1",3,0.1,118,"8",17,577,1071,"2048",16,4,7,"1","0","1","2","3","3","2","0","0","1","4","1","1","3","1","1"
517,"0",1.4,"1",3,"1",33,0.8,183,"4",8,660,974,"2048",17,16,11,"1","0","1","3","0","1","0","2","3","4","2","1","1","4","4","2"
748,"1",1.7,"0",0,"1",27,0.9,150,"8",4,450,1554,"2048",18,9,7,"1","0","0","1","0","2","0","2","4","2","1","1","3","4","2","1"
1126,"1",2.4,"0",2,"1",10,0.4,160,"6",3,1223,1611,"2048",7,6,12,"1","1","1","2","2","3","0","0","1","3","0","3","3","0","1","2"
1572,"0",0.6,"0",0,"1",58,0.2,157,"7",8,1109,1937,"2048",12,8,10,"1","0","0","3","3","0","0","4","0","3","2","2","4","2","2","2"
1569,"0",2.8,"1",17,"0",44,0.3,110,"4",20,45,1942,"1024",9,2,17,"1","0","0","1","3","4","4","3","1","1","4","0","4","1","0","4"
1270,"1",0.6,"1",2,"1",32,0.5,101,"7",6,299,845,"2048",5,3,13,"1","1","0","3","2","0","0","2","2","0","1","0","1","0","0","3"
1854,"0",3,"0",2,"1",8,0.1,101,"5",5,506,627,"1024",17,4,20,"1","1","0","1","4","4","0","0","0","0","1","1","0","4","1","4"
